34,15,19,7,4,8,34,7,9,3,36,3,1,18,26,19,7,9
27,8,171,26,1,14,27,9,1,110,102,108,3,34,5,171,26,19
1,10,4,9,1,5,35,1,18,15,19,34,7,27,13,4,9,16
1,34,1,3,1,14,4,27,27,8,25,22,26,20,174,1,34,16
133,1,29,31,3,34,18,20,1,10,27,27,12,1,3,1,18,20
1,3,32,30,1,26,23,3,1,3,34,1,34,1,18,15,20,1
1,1,1,3,1,14,27,27,32,29,1,18,26,15,20,34,2,34
34,2,34,18,15,26,20,1,30,31,27,27,12,1,3,1,1,1
1,18,15,20,1,34,1,34,3,1,3,25,26,1,29,31,3,1
18,20,1,3,1,14,27,27,8,1,18,20,34,3,32,30,1,133
16,34,1,57,18,26,24,23,10,27,27,4,12,1,3,1,34,1
16,7,4,11,27,9,34,21,15,20,1,35,5,1,7,4,8,1
21,26,54,5,34,3,110,102,108,1,7,27,12,1,26,54,10,27
7,9,21,26,20,1,3,36,3,7,9,34,10,4,9,21,15,34
